StockCode,Description,TotalQuantitySold,CustomersBought,TotalRevenue
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,109169,482,24905.87
85123A,WHITE HANGING HEART T-LIGHT HOLDER,93640,1490,252072.46
23843,"PAPER CRAFT , LITTLE BIRDIE",80995,1,168469.6
84879,ASSORTED COLOUR BIRD ORNAMENT,79913,1010,127074.17
23166,MEDIUM CERAMIC TOP STORAGE JAR,77916,138,81416.73
85099B,JUMBO BAG RED RETROSPOT,75759,860,136980.08
17003,BROCADE RING PURSE,71129,215,14827.71
21977,PACK OF 60 PINK PAISLEY CAKE CASES,55270,767,26733.45
84991,60 TEATIME FAIRY CAKE CASES,53495,822,26121.57
21212,PACK OF 72 RETROSPOT CAKE CASES,46107,772,22214.26
21212,PACK OF 72 RETRO SPOT CAKE CASES,45156,632,21853.08
22197,SMALL POPCORN HOLDER,43970,426,33329.68
22492,MINI PAINT SET VINTAGE,43621,356,27120.49
15036,ASSORTED COLOURS SILK FAN,41078,303,28829.32
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,39643,524,23848.11
21213,PACK OF 72 SKULL CAKE CASES,38927,528,18517.13
22616,PACK OF 12 LONDON TISSUES,38084,319,10809.66
22178,VICTORIAN GLASS HANGING T-LIGHT,37851,593,46440.91
21915,RED  HARMONICA IN BOX,37097,467,41939.65
85099F,JUMBO BAG STRAWBERRY,36098,549,64601.65
