Country,UniqueCustomers,PctOfTotalCustomers
United Kingdom,5350,90.82
Germany,107,1.82
France,95,1.61
Spain,41,0.7
Belgium,29,0.49
Portugal,24,0.41
Netherlands,22,0.37
Switzerland,22,0.37
Sweden,19,0.32
Italy,17,0.29
Australia,15,0.25
Finland,14,0.24
Austria,13,0.22
Channel Islands,13,0.22
Norway,13,0.22
Denmark,12,0.2
Cyprus,11,0.19
Japan,10,0.17
USA,9,0.15
Poland,6,0.1
Unspecified,6,0.1
Canada,5,0.08
EIRE,5,0.08
Greece,5,0.08
Israel,4,0.07
United Arab Emirates,4,0.07
Bahrain,2,0.03
Brazil,2,0.03
Korea,2,0.03
Malta,2,0.03
RSA,2,0.03
Czech Republic,1,0.02
European Community,1,0.02
Iceland,1,0.02
Lebanon,1,0.02
Lithuania,1,0.02
Nigeria,1,0.02
Saudi Arabia,1,0.02
Singapore,1,0.02
Thailand,1,0.02
West Indies,1,0.02
