CustomerID,Country,OrderCount,TotalSpend,AvgOrderValue
16446,United Kingdom,2,168472.5,84236.25
15749,United Kingdom,3,44534.3,14844.77
15098,United Kingdom,3,39916.5,13305.5
13687,United Kingdom,1,11880.84,11880.84
12918,United Kingdom,1,10953.5,10953.5
18052,United Kingdom,1,10877.18,10877.18
15760,Norway,2,13916.34,6958.17
13902,Denmark,5,34095.26,6819.05
12346,United Kingdom,12,77556.46,6463.04
12357,Switzerland,3,18287.66,6095.89
12415,Australia,28,144458.37,5159.23
12590,Germany,2,9864.26,4932.13
12688,Israel,1,4873.81,4873.81
17450,United Kingdom,51,246973.09,4842.61
14091,United Kingdom,2,9530.08,4765.04
16118,United Kingdom,1,4376.25,4376.25
12752,Norway,1,4366.78,4366.78
12536,France,3,12601.83,4200.61
18102,United Kingdom,145,608821.65,4198.77
16000,United Kingdom,3,12393.7,4131.23
14088,United Kingdom,16,64036.8,4002.3
15195,United Kingdom,1,3861.0,3861.0
14096,United Kingdom,17,65164.79,3833.22
12753,Japan,6,21429.39,3571.57
14646,Netherlands,151,528602.52,3500.68
14028,United Kingdom,3,10396.5,3465.5
12409,Switzerland,7,23419.29,3345.61
12454,Spain,5,16679.78,3335.96
12511,Greece,1,3084.02,3084.02
17511,United Kingdom,60,175603.55,2926.73
18251,United Kingdom,9,26278.86,2919.87
13205,United Kingdom,1,2803.2,2803.2
12378,Switzerland,2,5416.32,2708.16
14459,United Kingdom,2,5375.74,2687.87
16684,United Kingdom,55,147142.77,2675.32
13422,United Kingdom,1,2626.3,2626.3
12671,Germany,1,2622.48,2622.48
14063,United Kingdom,9,22710.2,2523.36
12557,Spain,8,18716.14,2339.52
17313,United Kingdom,1,2328.84,2328.84
16754,United Kingdom,29,67502.47,2327.67
12435,Denmark,6,13925.93,2320.99
12744,Singapore,11,25317.06,2301.55
16077,United Kingdom,1,2300.4,2300.4
17308,United Kingdom,2,4511.76,2255.88
12477,Germany,9,20276.37,2252.93
16749,United Kingdom,2,4387.08,2193.54
15838,United Kingdom,34,74163.0,2181.26
12501,Germany,1,2169.39,2169.39
17305,United Kingdom,1,2135.46,2135.46
