Country,Revenue,RevenuePct,CumulativePct
United Kingdom,14723147.5,82.98,82.98
EIRE,621631.11,3.5,86.48
Netherlands,554232.34,3.12,89.61
Germany,431262.46,2.43,92.04
France,355257.47,2.0,94.04
Australia,169968.11,0.96,95.0
Spain,109178.53,0.62,95.61
Switzerland,100365.34,0.57,96.18
Sweden,91549.72,0.52,96.69
Denmark,69862.19,0.39,97.09
Belgium,65753.42,0.37,97.46
Norway,60109.62,0.34,97.8
Portugal,57285.3,0.32,98.12
Japan,47138.39,0.27,98.38
Channel Islands,44996.76,0.25,98.64
Italy,32550.42,0.18,98.82
Finland,29925.54,0.17,98.99
Singapore,25317.06,0.14,99.13
Cyprus,24980.13,0.14,99.27
Austria,23613.01,0.13,99.41
Greece,19096.19,0.11,99.51
Poland,10902.45,0.06,99.58
Israel,10421.09,0.06,99.63
United Arab Emirates,9202.69,0.05,99.69
Unspecified,8613.65,0.05,99.73
USA,8366.86,0.05,99.78
Malta,8099.09,0.05,99.83
Lithuania,6553.74,0.04,99.86
Iceland,5633.32,0.03,99.9
Canada,4883.04,0.03,99.92
Thailand,3070.54,0.02,99.94
RSA,1933.74,0.01,99.95
Lebanon,1693.88,0.01,99.96
Brazil,1411.87,0.01,99.97
Bahrain,1354.37,0.01,99.98
European Community,1300.25,0.01,99.98
Korea,1118.51,0.01,99.99
Czech Republic,826.74,0.0,100.0
West Indies,536.41,0.0,100.0
Saudi Arabia,145.92,0.0,100.0
Nigeria,140.39,0.0,100.0
