StockCode,Description,UniqueBuyers,TotalQtySold,TotalRevenue
23843,"PAPER CRAFT , LITTLE BIRDIE",1,80995,168469.6
22502,PICNIC BASKET WICKER 60 PIECES,1,61,39619.5
DOT,DOTCOM POSTAGE,1,16,11906.36
22790,"MIRROR, ARCHED GEORGIAN",1,200,3884.0
15059A,ENGLISH ROSE EDWARDIAN PARASOL,1,505,1515.0
23131,MISELTOE HEART WREATH CREAM,1,240,996.0
84760L,LARGE HANGING GLASS+ZINC LANTERN,1,560,896.0
22191,IVORY WALL CLOCK,1,60,459.0
22193,RED WALL CLOCK,1,60,459.0
20715,LITTLE FLOWER SHOPPER BAG,1,400,424.0
22323,BAG FOR CHILDREN VINTAGE PINK,1,96,408.0
22324,BAG FOR CHILDREN VINTAGE BLUE,1,96,408.0
16243B,BROWN COZY SQUARE PHOTO ALBUM,1,205,399.75
35915A,CREAM KNITTED HEN,1,288,365.76
84966C,GREEN KASHMIRI BOXED MIRROR,1,23,276.0
22175,PINK OWL DECORATION,1,96,244.8
22176,BLUE OWL DECORATION,1,96,244.8
44217M,MULTICOLOUR FEATHERS CURTAIN,1,72,236.4
17011C,ORIGAMI LAVENDER INCENSE+FLOWER,1,334,217.1
22864,MUG AND COASTER SET RED CIRCLES,1,378,158.76
48175,DOOR MAT CAMOUFLAGE,1,38,152.0
22850,BREAD BIN DINER STYLE BLACK,1,8,123.6
79308B,MOSAIC CANDLE DISH BLUE PURPLE,1,144,122.4
78026,SEAGRASS S/3 SQU LAUNDRY BOX,1,11,110.0
85050,FRENCH ENAMEL SOAP DISH WITH LID,1,48,100.8
35822B,"ACRYLIC BEAD CHAIN, BLUE",1,229,87.02
17027A,INCENSE BAZAAR CANNABIS,1,228,84.84
17011E,ORIGAMI OPIUM SCENT INCENSE+FLOWER,1,124,80.6
40002,WHITE BAMBOO RIBS LAMPSHADE,1,78,66.3
85072,OCCASIONS GIFT CARD ASSORTMENT,1,120,66.0
