YearMonth,Revenue,PrevMonthRevenue,MoMGrowthPct
2009-12,686654.16,,
2010-01,557319.06,686654.16,-18.84
2010-02,506371.06,557319.06,-9.14
2010-03,699608.99,506371.06,38.16
2010-04,594609.19,699608.99,-15.01
2010-05,599985.79,594609.19,0.9
2010-06,639066.58,599985.79,6.51
2010-07,591636.74,639066.58,-7.42
2010-08,604242.65,591636.74,2.13
2010-09,831615.0,604242.65,37.63
2010-10,1036680.0,831615.0,24.66
2010-11,1172336.04,1036680.0,13.09
2010-12,884591.89,1172336.04,-24.54
2011-01,569445.04,884591.89,-35.63
2011-02,447137.35,569445.04,-21.48
2011-03,595500.76,447137.35,33.18
2011-04,469200.36,595500.76,-21.21
2011-05,678594.56,469200.36,44.63
2011-06,661213.69,678594.56,-2.56
2011-07,600091.01,661213.69,-9.24
2011-08,645343.9,600091.01,7.54
2011-09,952838.38,645343.9,47.65
2011-10,1039318.79,952838.38,9.08
2011-11,1161817.38,1039318.79,11.79
2011-12,518210.79,1161817.38,-55.4
