CustomerID,TotalSpend,SpendRank,DenseRank,SpendQuartile
18102,608821.65,1,1,1
14646,528602.52,2,2,1
14156,313946.37,3,3,1
14911,295972.63,4,4,1
17450,246973.09,5,5,1
13694,196482.81,6,6,1
17511,175603.55,7,7,1
16446,168472.5,8,8,1
16684,147142.77,9,9,1
12415,144458.37,10,10,1
15061,137818.52,11,11,1
16029,122209.14,12,12,1
17949,118628.08,13,13,1
15311,116771.16,14,14,1
13089,116737.86,15,15,1
12931,92347.34,16,16,1
14298,91194.49,17,17,1
15769,88704.32,18,18,1
12346,77556.46,19,19,1
13798,75836.87,20,20,1
15838,74163.0,21,21,1
17841,70884.07,22,22,1
16754,67502.47,23,23,1
14096,65164.79,24,24,1
14088,64036.8,25,25,1
16422,63651.47,26,26,1
13081,59205.15,27,27,1
16013,57446.44,28,28,1
14680,57412.77,29,29,1
17389,57224.68,30,30,1
17850,56600.08,31,31,1
12748,56599.39,32,32,1
13777,56478.42,33,33,1
13093,54943.65,34,34,1
13408,51733.46,35,35,1
17404,47781.12,36,36,1
13881,45179.1,37,37,1
15749,44534.3,38,38,1
16705,43515.05,39,39,1
14031,40999.17,40,40,1
15039,40031.43,41,41,1
17381,40002.37,42,42,1
12471,39963.79,43,43,1
15098,39916.5,44,44,1
16210,38489.51,45,45,1
17675,38259.6,46,46,1
17677,36692.91,47,47,1
12921,35921.04,48,48,1
13767,35540.53,49,49,1
12678,34281.18,50,50,1
