YearMonth,Revenue,Rolling3MonthAvg
2009-12,686654.16,686654.16
2010-01,557319.06,621986.61
2010-02,506371.06,583448.09
2010-03,699608.99,587766.37
2010-04,594609.19,600196.41
2010-05,599985.79,631401.32
2010-06,639066.58,611220.52
2010-07,591636.74,610229.7
2010-08,604242.65,611648.66
2010-09,831615.0,675831.46
2010-10,1036680.0,824179.22
2010-11,1172336.04,1013543.68
2010-12,884591.89,1031202.64
2011-01,569445.04,875457.66
2011-02,447137.35,633724.76
2011-03,595500.76,537361.05
2011-04,469200.36,503946.16
2011-05,678594.56,581098.56
2011-06,661213.69,603002.87
2011-07,600091.01,646633.09
2011-08,645343.9,635549.53
2011-09,952838.38,732757.76
2011-10,1039318.79,879167.02
2011-11,1161817.38,1051324.85
2011-12,518210.79,906448.99
