CohortMonth,CohortSize,ReturnedCustomers,RetentionPct
2009-12,955,866,90.7
2010-01,383,333,86.9
2010-02,374,314,84.0
2010-03,443,359,81.0
2010-04,294,226,76.9
2010-05,254,194,76.4
2010-06,270,196,72.6
2010-07,186,134,72.0
2010-08,162,110,67.9
2010-09,243,164,67.5
2010-10,377,239,63.4
2010-11,325,173,53.2
2010-12,76,42,55.3
2011-01,71,38,53.5
2011-02,124,72,58.1
2011-03,179,112,62.6
2011-04,106,63,59.4
2011-05,111,69,62.2
2011-06,108,62,57.4
2011-07,102,66,64.7
2011-08,106,62,58.5
2011-09,189,95,50.3
2011-10,221,84,38.0
2011-11,191,27,14.1
2011-12,28,0,0.0
