CustomerID,RecencyDays,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Total,CustomerSegment
15294,432.0,1,233.35,5,5,5,15,High Value
17981,432.0,1,239.12,5,5,5,15,High Value
17260,432.0,1,120.95,5,5,5,15,High Value
13241,433.0,1,115.58,5,5,5,15,High Value
14728,434.0,1,190.58,5,5,5,15,High Value
13746,435.0,1,176.69,5,5,5,15,High Value
14945,435.0,1,179.4,5,5,5,15,High Value
16540,435.0,1,226.7,5,5,5,15,High Value
12400,435.0,1,205.25,5,5,5,15,High Value
13195,435.0,1,172.38,5,5,5,15,High Value
12387,436.0,1,143.94,5,5,5,15,High Value
15647,436.0,1,169.0,5,5,5,15,High Value
13088,438.0,1,236.11,5,5,5,15,High Value
13387,438.0,1,189.44,5,5,5,15,High Value
15772,439.0,1,280.88,5,5,5,15,High Value
15688,439.0,1,190.57,5,5,5,15,High Value
17316,441.0,1,124.45,5,5,5,15,High Value
17938,441.0,1,144.29,5,5,5,15,High Value
15686,441.0,1,90.0,5,5,5,15,High Value
17390,442.0,1,149.3,5,5,5,15,High Value
17202,442.0,1,160.65,5,5,5,15,High Value
13829,442.0,1,102.0,5,5,5,15,High Value
17751,442.0,1,157.86,5,5,5,15,High Value
16238,443.0,1,63.66,5,5,5,15,High Value
17944,444.0,1,75.41,5,5,5,15,High Value
12467,444.0,1,132.8,5,5,5,15,High Value
13968,444.0,1,123.66,5,5,5,15,High Value
12655,445.0,1,261.35,5,5,5,15,High Value
13912,445.0,1,124.95,5,5,5,15,High Value
17273,445.0,1,141.12,5,5,5,15,High Value
17264,445.0,1,279.59,5,5,5,15,High Value
14571,446.0,1,161.65,5,5,5,15,High Value
15931,449.0,1,239.9,5,5,5,15,High Value
14266,449.0,1,40.56,5,5,5,15,High Value
17249,450.0,1,68.03,5,5,5,15,High Value
13423,450.0,1,217.03,5,5,5,15,High Value
17008,450.0,1,81.36,5,5,5,15,High Value
13818,450.0,1,61.28,5,5,5,15,High Value
13022,451.0,1,65.3,5,5,5,15,High Value
16760,451.0,1,228.0,5,5,5,15,High Value
13306,451.0,1,53.65,5,5,5,15,High Value
17657,451.0,1,126.0,5,5,5,15,High Value
15490,451.0,1,217.6,5,5,5,15,High Value
16061,452.0,1,89.65,5,5,5,15,High Value
13326,453.0,1,281.76,5,5,5,15,High Value
14579,453.0,1,105.56,5,5,5,15,High Value
16312,453.0,1,171.15,5,5,5,15,High Value
14392,453.0,1,266.4,5,5,5,15,High Value
13674,454.0,1,240.68,5,5,5,15,High Value
13380,454.0,1,62.4,5,5,5,15,High Value
18266,455.0,1,251.1,5,5,5,15,High Value
