Country,RankInCountry,StockCode,Description,TotalQty,Revenue
Australia,1,22492,MINI PAINT SET VINTAGE,3060,1701.0
Australia,2,23084,RABBIT NIGHT LIGHT,1884,3375.84
Australia,3,21915,RED  HARMONICA IN BOX,1728,1840.8
Austria,1,21918,SET 12 KIDS COLOUR  CHALK STICKS,288,103.68
Austria,2,22546,MINI JIGSAW PURDEY,240,86.4
Austria,3,22582,PACK OF 6 SWEETIE GIFT BOXES,144,302.4
Austria,3,22584,PACK OF 6 PANNETONE GIFT BOXES,144,302.4
Bahrain,1,23076,ICE CREAM SUNDAE LIP GLOSS,96,120.0
Bahrain,2,22422,TOOTHPASTE TUBE PEN,60,39.0
Bahrain,2,23077,DOUGHNUT LIP GLOSS,60,75.0
Belgium,1,22417,PACK OF 60 SPACEBOY CAKE CASES,624,312.0
Belgium,2,21212,PACK OF 72 RETROSPOT CAKE CASES,600,298.8
Belgium,3,21976,PACK OF 60 MUSHROOM CAKE CASES,576,316.8
Brazil,1,17084P,DRAGONS BLOOD INCENSE,25,5.25
Brazil,1,22630,DOLLY GIRL LUNCH BOX,25,48.75
Brazil,3,21430,SET/3 RED GINGHAM ROSE STORAGE BOX,24,81.36
Brazil,3,22697,GREEN REGENCY TEACUP AND SAUCER,24,61.2
Brazil,3,22698,PINK REGENCY TEACUP AND SAUCER,24,61.2
Brazil,3,22699,ROSES REGENCY TEACUP AND SAUCER,24,61.2
Brazil,3,22722,SET OF 6 SPICE TINS PANTRY DESIGN,24,82.8
Brazil,3,22993,SET OF 4 PANTRY JELLY MOULDS,24,30.0
Brazil,3,84971S,SMALL HEART FLOWERS HOOK,24,20.4
Canada,1,37370,RETRO COFFEE MUGS ASSORTED,504,534.24
Canada,2,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,288,60.48
Canada,3,20727,LUNCH BAG  BLACK SKULL.,50,82.5
Channel Islands,1,51008,AFGHAN SLIPPER SOCK PAIR,600,1770.0
Channel Islands,2,21785,RAIN PONCHO,551,358.15
Channel Islands,3,85099B,JUMBO BAG RED RETROSPOT,550,955.7
Cyprus,1,22335,HEART DECORATION PAINTED ZINC,384,220.8
Cyprus,2,85123A,WHITE HANGING HEART T-LIGHT HOLDER,291,781.65
Cyprus,3,84568,GIRLS ALPHABET IRON ON PATCHES,288,60.48
Cyprus,3,84598,BOYS ALPHABET IRON ON PATCHES,288,60.48
Czech Republic,1,22578,WOODEN STAR CHRISTMAS SCANDINAVIAN,72,20.88
Czech Republic,1,22579,WOODEN TREE CHRISTMAS SCANDINAVIAN,72,20.88
Czech Republic,3,23271,CHRISTMAS TABLE SILVER CANDLE SPIKE,48,39.84
Czech Republic,3,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,48,31.2
Denmark,1,37410,BLACK AND WHITE PAISLEY FLOWER MUG,25164,2516.4
Denmark,2,21091,SET/6 WOODLAND PAPER PLATES,12960,1296.0
Denmark,2,21099,SET/6 STRAWBERRY PAPER CUPS,12960,1296.0
EIRE,1,84991,60 TEATIME FAIRY CAKE CASES,5388,2495.4
EIRE,2,17084R,ASSORTED INCENSE PACK,4320,691.2
EIRE,3,84992,72 SWEETHEART FAIRY CAKE CASES,4032,1796.4
European Community,1,22571,ROCKING HORSE RED CHRISTMAS,24,20.4
European Community,1,22572,ROCKING HORSE GREEN CHRISTMAS,24,20.4
European Community,1,23210,WHITE ROCKING HORSE HAND PAINTED,24,30.0
European Community,1,23211,RED ROCKING HORSE HAND PAINTED,24,30.0
European Community,1,23307,SET OF 60 PANTRY DESIGN CAKE CASES,24,13.2
European Community,1,23308,SET OF 60 VINTAGE LEAF CAKE CASES,24,13.2
Finland,1,84997D,CHILDRENS CUTLERY POLKADOT PINK,480,1819.2
Finland,2,84997C,CHILDRENS CUTLERY POLKADOT BLUE,300,1187.4
Finland,3,21977,PACK OF 60 PINK PAISLEY CAKE CASES,264,129.6
France,1,21088,SET/6 FRUIT SALAD PAPER CUPS,7176,590.4
France,2,21096,SET/6 FRUIT SALAD  PAPER PLATES,7044,936.12
France,3,16047,POP ART PEN CASE & PENS,5196,424.92
Germany,1,22326,ROUND SNACK BOXES SET OF4 WOODLAND,2758,7867.3
Germany,2,20719,WOODLAND CHARLOTTE BAG,2610,2166.5
Germany,3,15036,ASSORTED COLOURS SILK FAN,2100,1486.92
Greece,1,85123A,WHITE HANGING HEART T-LIGHT HOLDER,160,408.0
Greece,2,22297,HEART IVORY TRELLIS SMALL,120,150.0
Greece,3,21615,4 LAVENDER BOTANICAL DINNER CANDLES,96,216.0
Greece,3,21616,4 PEAR BOTANICAL DINNER CANDLES,96,216.0
Greece,3,22154,ANGEL DECORATION 3 BUTTONS,96,40.32
Greece,3,22217,T-LIGHT HOLDER HANGING LACE,96,101.76
Greece,3,22464,HANGING METAL HEART LANTERN,96,139.2
Iceland,1,23076,ICE CREAM SUNDAE LIP GLOSS,240,249.6
Iceland,2,84558A,3D DOG PICTURE PLAYING CARDS,156,460.2
Iceland,3,22492,MINI PAINT SET VINTAGE,144,93.6
Israel,1,20719,WOODLAND CHARLOTTE BAG,120,89.0
Israel,2,20724,RED RETROSPOT CHARLOTTE BAG,110,80.5
Israel,3,22326,ROUND SNACK BOXES SET OF4 WOODLAND,108,280.2
Italy,1,51014A,"FEATHER PEN,HOT PINK",432,300.96
Italy,2,10002,INFLATABLE POLITICAL GLOBE,360,267.0
Italy,3,51014C,"FEATHER PEN,COAL BLACK",264,180.24
Japan,1,23084,RABBIT NIGHT LIGHT,3408,6100.32
Japan,2,22328,ROUND SNACK BOXES SET OF 4 FRUITS,2991,7633.05
Japan,3,22489,PACK OF 12 TRADITIONAL CRAYONS,1489,547.62
Korea,1,21201,TROPICAL  HONEYCOMB PAPER GARLAND,48,100.8
Korea,1,85118,HEART T-LIGHT HOLDER,48,18.24
Korea,1,85175,CACTI T-LIGHT CANDLES,48,20.16
Lebanon,1,84929,ASSTD FRUIT+FLOWERS FRIDGE MAGNETS,24,13.2
Lebanon,2,47566,PARTY BUNTING,15,69.75
Lebanon,3,21165,BEWARE OF THE CAT METAL SIGN,12,20.28
Lebanon,3,21260,FIRST AID TIN,12,39.0
Lebanon,3,21272,SALLE DE BAIN HOOK,12,15.0
Lebanon,3,21906,PHARMACIE FIRST AID TIN,12,81.0
Lebanon,3,22241,GARLAND WOODEN HAPPY EASTER,12,15.0
Lebanon,3,22423,REGENCY CAKESTAND 3 TIER,12,153.0
Lebanon,3,22588,CARD HOLDER GINGHAM HEART,12,30.6
Lebanon,3,22720,SET OF 3 CAKE TINS PANTRY DESIGN,12,59.4
Lebanon,3,22722,SET OF 6 SPICE TINS PANTRY DESIGN,12,47.4
Lebanon,3,22842,BISCUIT TIN VINTAGE RED,12,71.4
