CustomerID,StreakStart,StreakEnd,ConsecutiveGrowthMonths,SpendInStreak
13090,2011-02,2011-11,7,7244.28
15189,2011-03,2011-08,6,9785.48
17623,2010-05,2011-11,6,2186.62
15660,2010-03,2010-12,6,1312.43
17850,2010-03,2010-12,5,39609.84
15838,2010-06,2010-11,5,38001.86
17381,2010-08,2010-12,5,14978.14
17841,2011-03,2011-07,5,13387.02
16253,2010-01,2011-10,5,6931.02
15290,2011-05,2011-10,5,4299.85
18109,2011-08,2011-12,5,4265.81
13267,2010-07,2010-12,5,3427.21
16168,2010-03,2010-07,5,3112.91
15005,2011-02,2011-06,5,2876.34
16161,2010-04,2010-08,5,2812.26
17188,2010-05,2011-01,5,2561.95
12417,2011-01,2011-08,5,2525.18
13021,2011-03,2011-11,5,2153.6
13266,2010-03,2010-10,5,2005.23
16011,2010-07,2010-12,5,1861.72
14562,2010-08,2011-04,5,1832.91
16125,2010-07,2010-12,5,1679.53
13571,2011-07,2011-11,5,1585.01
15867,2011-03,2011-07,5,1553.78
15953,2010-08,2010-12,5,1469.67
16684,2010-01,2010-06,4,27800.56
13777,2010-09,2010-12,4,26280.82
13777,2011-08,2011-11,4,11426.39
13802,2010-03,2010-06,4,10927.57
13408,2010-09,2010-12,4,9735.22
16180,2011-05,2011-08,4,9073.3
17044,2010-05,2010-11,4,8843.54
16705,2011-05,2011-10,4,7554.6
14194,2011-08,2011-11,4,6337.77
15039,2010-03,2010-06,4,5704.02
16839,2010-12,2011-03,4,5476.86
14051,2010-08,2010-12,4,5339.25
15950,2010-03,2010-11,4,4858.54
16873,2011-05,2011-12,4,4437.05
15615,2011-04,2011-08,4,4395.97
12709,2011-05,2011-09,4,4373.83
16008,2010-07,2010-11,4,4055.96
12481,2011-03,2011-10,4,4015.09
13178,2010-02,2010-06,4,3961.18
13758,2010-04,2010-12,4,3949.63
12583,2010-09,2010-12,4,3947.87
15615,2010-03,2010-06,4,3826.49
17838,2010-05,2010-12,4,3737.49
16003,2010-03,2010-12,4,3671.59
17406,2010-07,2011-01,4,3496.08
12957,2011-05,2011-11,4,3273.35
13269,2010-09,2011-04,4,3231.34
17716,2010-11,2011-06,4,2978.24
13421,2010-08,2011-10,4,2961.83
13555,2010-04,2010-10,4,2851.23
13269,2011-08,2011-11,4,2346.78
17738,2010-09,2011-07,4,2328.13
13435,2010-11,2011-09,4,2314.51
16347,2010-09,2011-11,4,2275.41
14854,2010-11,2011-06,4,2240.63
14044,2010-02,2010-10,4,2225.11
17338,2010-05,2010-08,4,2210.29
13004,2011-08,2011-11,4,2198.89
17019,2010-03,2010-11,4,2163.91
16626,2011-08,2011-11,4,2058.85
16556,2011-05,2011-10,4,2044.73
18109,2011-03,2011-06,4,2028.77
13982,2010-05,2010-12,4,1946.74
15867,2010-09,2010-12,4,1925.0
17307,2010-08,2010-11,4,1909.63
13871,2010-06,2011-03,4,1884.5
16369,2010-09,2011-11,4,1880.01
16771,2010-09,2011-03,4,1764.11
13659,2010-07,2011-01,4,1763.15
16174,2010-05,2011-07,4,1738.75
17287,2010-06,2010-11,4,1727.51
14092,2010-05,2010-09,4,1719.65
16098,2010-02,2010-08,4,1703.33
18229,2010-05,2010-10,4,1700.45
14540,2010-02,2010-10,4,1681.34
14344,2010-08,2010-12,4,1666.0
18170,2010-02,2010-11,4,1639.3
16351,2010-02,2010-05,4,1626.31
15628,2010-02,2010-08,4,1559.16
13456,2011-06,2011-11,4,1559.06
18041,2011-07,2011-11,4,1447.38
12500,2010-09,2011-03,4,1435.05
14719,2011-06,2011-12,4,1378.67
16996,2011-03,2011-11,4,1329.42
16156,2010-11,2011-05,4,1323.79
16791,2011-05,2011-11,4,1314.5
16770,2010-09,2010-12,4,1249.77
17612,2010-01,2010-06,4,1214.1
12997,2010-05,2011-01,4,1186.62
14404,2010-12,2011-06,4,1171.76
12775,2011-02,2011-06,4,1164.68
13571,2010-08,2010-11,4,911.54
17180,2010-03,2010-06,4,893.73
13427,2010-06,2011-08,4,792.79
15134,2011-05,2011-09,4,787.45
14560,2011-07,2011-10,4,729.69
12877,2011-03,2011-06,4,629.37
14173,2010-03,2011-11,4,562.4
17450,2011-07,2011-09,3,100017.24
14096,2011-09,2011-11,3,56206.97
15061,2010-10,2010-12,3,49705.95
14156,2011-05,2011-07,3,41634.96
16684,2011-05,2011-10,3,34414.98
14911,2011-05,2011-07,3,32978.46
17511,2010-07,2010-09,3,24840.74
17511,2010-03,2010-05,3,19868.96
17389,2010-08,2010-11,3,19371.18
13093,2010-08,2010-10,3,18400.22
17841,2011-09,2011-11,3,16070.22
16210,2010-10,2010-12,3,15919.17
18251,2010-04,2010-09,3,15853.65
14298,2010-02,2010-05,3,15738.93
15061,2011-09,2011-11,3,14063.28
12748,2010-10,2010-12,3,13363.37
15311,2010-11,2011-01,3,13178.06
14298,2010-08,2010-10,3,12409.28
16705,2010-06,2010-09,3,12243.98
12753,2011-04,2011-11,3,12088.26
13098,2011-08,2011-10,3,10954.02
12433,2010-09,2010-12,3,10840.11
13767,2010-10,2010-12,3,10503.6
16191,2010-06,2010-11,3,10158.9
17920,2010-03,2010-05,3,10150.18
17841,2010-10,2010-12,3,10035.3
17340,2010-09,2010-12,3,9682.98
14680,2010-01,2010-03,3,9499.14
12709,2010-01,2010-04,3,8980.9
13093,2010-04,2010-06,3,8620.15
12471,2010-09,2010-11,3,8395.91
12435,2010-08,2011-03,3,8338.15
15039,2011-04,2011-06,3,7318.08
12798,2011-06,2011-11,3,6977.04
13798,2011-08,2011-10,3,6905.3
17675,2011-06,2011-08,3,6568.04
13098,2011-03,2011-05,3,6310.01
12476,2010-09,2010-11,3,6067.25
16532,2010-10,2011-07,3,5663.04
14769,2011-01,2011-05,3,5490.34
16126,2011-06,2011-11,3,5396.42
13324,2011-04,2011-09,3,5327.23
12901,2011-09,2011-11,3,5235.07
14258,2011-05,2011-09,3,5231.72
16126,2010-08,2010-11,3,5177.09
16652,2011-05,2011-10,3,5160.31
13319,2010-10,2010-12,3,5109.06
13316,2010-11,2011-07,3,5096.21
15903,2011-04,2011-11,3,4965.48
12939,2010-04,2010-07,3,4879.62
16182,2011-02,2011-08,3,4844.0
16303,2010-11,2011-08,3,4797.93
12406,2010-11,2011-11,3,4761.16
16782,2010-09,2010-11,3,4475.77
17389,2010-04,2010-06,3,4446.12
12626,2011-07,2011-10,3,4279.67
14667,2011-08,2011-11,3,4250.96
13709,2011-06,2011-10,3,4240.77
13001,2010-03,2010-05,3,4158.25
13767,2011-02,2011-05,3,4131.05
17675,2010-05,2010-07,3,4097.51
16779,2011-08,2011-11,3,3956.81
13815,2010-10,2011-06,3,3872.15
18092,2011-08,2011-11,3,3836.38
17672,2010-10,2011-10,3,3833.49
15903,2010-08,2010-11,3,3773.28
15640,2010-02,2010-06,3,3758.95
14739,2010-09,2010-12,3,3737.28
12683,2010-05,2010-12,3,3725.63
16187,2011-06,2011-09,3,3717.55
13319,2011-09,2011-11,3,3639.38
14390,2011-07,2011-11,3,3616.74
17584,2010-04,2010-08,3,3605.07
12471,2011-05,2011-08,3,3600.28
15078,2010-09,2010-12,3,3513.27
15465,2011-02,2011-04,3,3511.26
16656,2011-04,2011-07,3,3500.92
15194,2010-10,2010-12,3,3412.08
14194,2011-02,2011-05,3,3407.87
15601,2010-09,2010-12,3,3288.51
14292,2010-07,2010-10,3,3253.29
18172,2011-08,2011-11,3,3251.8
16767,2010-08,2011-01,3,3193.36
14016,2010-03,2010-07,3,3180.53
14299,2010-07,2010-09,3,3113.58
12540,2010-08,2010-10,3,3072.04
14101,2011-01,2011-03,3,3068.63
17364,2010-03,2010-06,3,3009.6
14110,2010-03,2010-05,3,3007.33
17338,2011-07,2011-11,3,3000.68
12949,2010-03,2010-07,3,2996.6
17597,2010-08,2011-05,3,2992.17
14667,2010-06,2010-08,3,2985.27
13468,2010-10,2010-12,3,2976.62
16713,2011-09,2011-11,3,2952.36
12362,2011-08,2011-10,3,2941.15
15791,2010-04,2011-05,3,2911.56
16258,2010-04,2010-08,3,2898.66
14051,2011-02,2011-04,3,2889.22
13107,2010-04,2010-09,3,2881.15
12490,2011-08,2011-11,3,2862.92
17811,2011-09,2011-11,3,2831.89
13869,2011-01,2011-08,3,2781.33
13141,2010-05,2010-09,3,2777.57
14113,2010-09,2010-11,3,2761.3
14882,2010-06,2010-11,3,2754.35
17173,2011-08,2011-11,3,2746.62
14527,2011-09,2011-11,3,2740.47
13225,2011-07,2011-12,3,2721.96
12643,2010-09,2010-11,3,2686.38
